A,B,C,lat_deg,lon_deg
-0.8616291604415257,0.4373098535696979,0.25759518987683155,-59.5,120.5
-0.8616291604415257,0.4327475932108218,0.2651880661852502,-59.5,121.5
-0.8526401643540922,-0.47159951560653873,-0.22494143017662319,-58.5,-64.49999999999999
-0.8526401643540922,-0.46760191945204216,-0.23313771692927027,-58.5,-63.5
-0.8526401643540922,0.47159951560653884,0.22494143017662302,-58.5,115.5
-0.8526401643540922,0.4676019194520421,0.23313771692927032,-58.5,116.5
-0.8526401643540922,0.4634618872231189,0.24126298767488494,-58.5,117.5
-0.8526401643540922,0.4591806800136913,0.24931476737728697,-58.5,118.5
-0.8526401643540922,0.45475960192094844,0.2572906033863793,-58.5,119.5
-0.8526401643540922,0.45019999964810525,0.2651880661852503,-58.5,120.5
-0.8526401643540922,0.445503262094184,0.27300475013022657,-58.5,121.5
-0.8526401643540922,0.4406708199309417,0.28073827418365704,-58.5,122.5
-0.8526401643540922,0.43570414516707456,0.28838628263919813,-58.5,123.5
-0.8433914458128857,-0.48495871978078675,-0.23131344370405862,-57.5,-64.49999999999999
-0.8433914458128857,0.45812322636822533,0.2807382741836569,-57.5,121.5
-0.8433914458128857,0.45315389351832497,0.2886908691296504,-57.5,122.5
-0.8433914458128857,0.44804652560265873,0.29655552604029556,-57.5,123.5
-0.8433914458128857,0.4428026783749698,0.3043298492649109,-57.5,124.5
-0.8433914458128857,0.43742394916192184,0.31201147066933094,-57.5,125.5
-0.8433914458128857,0.43191197637653833,0.31959805035726196,-57.5,126.5
-0.8338858220671682,-0.4981702008310888,-0.2376149969157581,-56.5,-64.49999999999999
-0.8338858220671682,0.48957408520352463,-0.2548561375609681,-56.5,62.5
-0.8338858220671682,0.49394737359479307,-0.24627307582066096,-56.5,63.5
-0.8338858220671682,0.44934046489735036,0.3205114387368977,-56.5,125.5
-0.8338858220671682,0.4436783322714823,0.3283046957144525,-56.5,126.5
-0.8338858220671682,0.4378810509275957,0.3359979479013338,-56.5,127.5
-0.8338858220671682,0.43195038677374775,0.34358885185839894,-56.5,128.5
-0.8338858220671682,0.42588814634769095,0.35107509532276837,-56.5,129.5
