A,B,C,uot_weight,final_weight
-2.3616193313994644,-0.6322356678787684,-0.5368381184123644,1.9762138816823576,1.8107083805299224
-2.3616193313994644,-0.6222129569774989,-0.5598322436476465,1.97769880511082,1.8120689434332016
-2.3616193313994644,-0.6112085820259172,-0.5825281872077982,1.982537080643449,1.8165020192937882
-2.3616193313994644,-0.605342413978962,-0.5937556846471065,1.981542756435316,1.8155909685247813
-2.3616193313994644,1.0293280862316652,-0.44244482650785016,1.7277688983143982,2.897199748944565
-2.3474467325364485,-0.6945458962891021,-0.4473026158557676,1.974601259806663,6.403651946643134
-2.3474467325364485,-0.6915719527107033,-0.4597323216737151,1.9723452715094714,6.396335753675483
-2.3474467325364485,-0.6290930863893294,-0.6159526318635384,1.9746571680592684,2.2041786805725314
-2.3474467325364485,1.0615900919489012,-0.4473026158557676,1.7107303963843206,3.4947401083135876
-2.3474467325364485,1.06890389863161,-0.40978706253071223,1.725509268735225,3.524930907559052
-2.3474467325364485,1.0708033507539179,-0.39721909692863155,1.7261553435999168,3.526250731972873
-2.3474467325364485,1.0724325284112985,-0.3846261137702812,1.7267527127807751,3.5274710587059612
-2.332745857115278,-0.7234581275613493,-0.4650027440282741,1.943267874290772,10.409204635651788
-2.332745857115278,-0.7200995461706362,-0.477839691222357,1.935736231886071,10.368861043257603
-2.332745857115278,-0.6652730688201477,-0.6149261942688853,1.9559864506256692,2.1833377984266047
-2.332745857115278,1.106230040370831,-0.374086066752765,1.7290836639158838,3.5322328075119684
-2.332745857115278,1.1090479939387654,-0.32165108563226447,1.7241488081000513,6.172178311907085
-2.332745857115278,1.1087660697850399,-0.2954056199789502,1.7231745128517564,6.168690489990166
-2.3175211831650158,-0.7437877360647233,-0.5099225748814104,1.9129218609729426,3.52686541968608
-2.3175211831650158,1.140429083675547,-0.28114676619912954,1.7245273676139445,6.173533494714065
-2.3175211831650158,1.1395541899677695,-0.267584260634159,1.7234993325832613,6.169853292929597
-2.3175211831650158,1.1369311078510536,-0.24050678777895024,1.7171531130025353,6.147134836915393
-2.3175211831650158,1.135183718458338,-0.22700006854924898,1.7157074795352563,6.141959699194225
-2.3175211831650158,1.0684311138732503,-0.017303869398201666,1.6471319594129743,1.6601692149542235
-2.3017773482688324,-0.7655026552535311,-0.5434716939873102,1.9001833599814804,3.5033793695958932
-2.3017773482688324,-0.7604519994697777,-0.5568928257621217,1.896678840120893,3.496918065472042
-2.3017773482688324,-0.6944273292905278,-0.686390604601654,1.9289364425238518,2.153143670487963
